AnuncioEnderecoCep;FreeformAddress;StreetNumber;StreetName;MunicipalitySubdivision;Municipality;CountrySecondarySubdivision;CountrySubdivision;Country;CountryCode;CountryCodeISO3;PostalCode;Lat;Lon;Score;Type
20241270;Rua Aprazível, 20241-270, Rio de Janeiro;;Rua Aprazível;Santa Teresa;Rio de Janeiro;;Rio de Janeiro;Brasil;BR;BRA;20241;-22,92279;-43,18728;2.3055999279;Street
20241320;Rua Joaquim Murtinho, 20241-320, Rio de Janeiro;;Rua Joaquim Murtinho;Santa Teresa;Rio de Janeiro;;Rio de Janeiro;Brasil;BR;BRA;20241;-22,91667;-43,18252;2.3055999279;Street
20241330;Rua Leopoldo Fróis, 20241-330, Rio de Janeiro;;Rua Leopoldo Fróis;Santa Teresa;Rio de Janeiro;;Rio de Janeiro;Brasil;BR;BRA;20241;-22,9249;-43,18844;2.3055999279;Street
20241350;Travessa Falet, 20241-350, Rio de Janeiro;;Travessa Falet;Santa Teresa;Rio de Janeiro;;Rio de Janeiro;Brasil;BR;BRA;20241;-22,92595;-43,19538;2.3055999279;Street
20241380;Rua Professor Júlio Koeler, 20241-380, Rio de Janeiro;;Rua Professor Júlio Koeler;Santa Teresa;Rio de Janeiro;;Rio de Janeiro;Brasil;BR;BRA;20241;-22,93033;-43,19638;2.3055999279;Street
20241390;Estrada Dom Joaquim Mamede, 20241-390, Rio de Janeiro;;Estrada Dom Joaquim Mamede;Rio Comprido;Rio de Janeiro;;Rio de Janeiro;Brasil;BR;BRA;20241;-22,9379;-43,21105;2.3055999279;Street
20241400;Rua Doutor Júlio Otoni, 20241-400, Rio de Janeiro;;Rua Doutor Júlio Otoni;Laranjeiras;Rio de Janeiro;;Rio de Janeiro;Brasil;BR;BRA;20241;-22,93513;-43,19666;2.3055999279;Street
20250450;Rua Aristides Lobo, 20250-450, Rio de Janeiro;;Rua Aristides Lobo;Rio Comprido;Rio de Janeiro;;Rio de Janeiro;Brasil;BR;BRA;20250;-22,92214;-43,20892;2.3055999279;Street
20250460;Rua Campos da Paz, Rio de Janeiro;;Rua Campos da Paz;Rio Comprido;Rio de Janeiro;;Rio de Janeiro;Brasil;BR;BRA;20250;-22,92372;-43,2065;2.3055999279;Street
20250480;Rua Tenente Vieira Sampaío, 20250-480, Rio de Janeiro;;Rua Tenente Vieira Sampaío;Rio Comprido;Rio de Janeiro;;Rio de Janeiro;Brasil;BR;BRA;20250;-22,9215;-43,20771;2.3055999279;Street
20250500;Rua Azevedo Lima, 20250-500, Rio de Janeiro;;Rua Azevedo Lima;Rio Comprido;Rio de Janeiro;;Rio de Janeiro;Brasil;BR;BRA;20250;-22,9224;-43,20566;2.3055999279;Street
20250900;20250, Sepetiba, Duque de Caxias;;;Sepetiba, Vila Urussaí, Rio Comprido, Catumbi, Caju, Estácio, Jardim Gramacho;Duque de Caxias, Rio de Janeiro;;Rio de Janeiro;Brasil;BR;BRA;20250;-22,91746;-43,20797;2.7559998035;Geography
20251010;Rua Dona Cecília, 20251-010, Rio de Janeiro;;Rua Dona Cecília;Rio Comprido;Rio de Janeiro;;Rio de Janeiro;Brasil;BR;BRA;20251;-22,92522;-43,20619;2.3055999279;Street
20251020;Rua da Estrela, Rio de Janeiro;;Rua da Estrela;Rio Comprido;Rio de Janeiro;;Rio de Janeiro;Brasil;BR;BRA;20251;-22,92511;-43,20694;2.3055999279;Street
20251021;Rua da Estrela, Rio de Janeiro;;Rua da Estrela;Rio Comprido;Rio de Janeiro;;Rio de Janeiro;Brasil;BR;BRA;20251;-22,92511;-43,20694;2.3055999279;Street
20251050;Rua Caetano Martins, 20251-050, Rio de Janeiro;;Rua Caetano Martins;Rio Comprido;Rio de Janeiro;;Rio de Janeiro;Brasil;BR;BRA;20251;-22,92395;-43,20488;2.3055999279;Street
20251060;Rua Barão de Petrópolis, Rio de Janeiro;;Rua Barão de Petrópolis;Rio Comprido;Rio de Janeiro;;Rio de Janeiro;Brasil;BR;BRA;20251;-22,92931;-43,20276;2.3055999279;Street
20251061;Rua Barão de Petrópolis, Rio de Janeiro;;Rua Barão de Petrópolis;Rio Comprido;Rio de Janeiro;;Rio de Janeiro;Brasil;BR;BRA;20251;-22,92931;-43,20276;2.3055999279;Street
20251063;Rua Barão de Petrópolis, Rio de Janeiro;;Rua Barão de Petrópolis;Rio Comprido;Rio de Janeiro;;Rio de Janeiro;Brasil;BR;BRA;20251;-22,92931;-43,20276;2.3055999279;Street
20251070;Rua Caturama, 20251-070, Rio de Janeiro;;Rua Caturama;Rio Comprido;Rio de Janeiro;;Rio de Janeiro;Brasil;BR;BRA;20251;-22,92675;-43,20113;2.3055999279;Street
20251130;Rua Marcel Prost, 20251-130, Rio de Janeiro;;Rua Marcel Prost;Rio Comprido;Rio de Janeiro;;Rio de Janeiro;Brasil;BR;BRA;20251;-22,93213;-43,1988;2.3055999279;Street
20251140;Rua Prefeito João Felipe, 20251-140, Rio de Janeiro;;Rua Prefeito João Felipe;Santa Teresa;Rio de Janeiro;;Rio de Janeiro;Brasil;BR;BRA;20251;-22,93132;-43,19721;2.3055999279;Street
20251370;Rua Miguel de Paiva, 20251-370, Rio de Janeiro;;Rua Miguel de Paiva;Santa Teresa;Rio de Janeiro;;Rio de Janeiro;Brasil;BR;BRA;20251;-22,9193;-43,19207;2.3055999279;Street
20251380;Rua Miguel Rezende, 20251-380, Rio de Janeiro;;Rua Miguel Rezende;Santa Teresa;Rio de Janeiro;;Rio de Janeiro;Brasil;BR;BRA;20251;-22,92134;-43,19205;2.3055999279;Street
20251390;Rua Paulo de Azevedo, 20251-390, Rio de Janeiro;;Rua Paulo de Azevedo;Santa Teresa;Rio de Janeiro;;Rio de Janeiro;Brasil;BR;BRA;20251;-22,9188;-43,19126;2.3055999279;Street
20251400;Rua Santa Catarina, 20251-400, Rio de Janeiro;;Rua Santa Catarina;Santa Teresa;Rio de Janeiro;;Rio de Janeiro;Brasil;BR;BRA;20251;-22,92078;-43,19138;2.3055999279;Street
20251460;Rua Eduardo Santos, 20251-460, Rio de Janeiro;;Rua Eduardo Santos;Santa Teresa;Rio de Janeiro;;Rio de Janeiro;Brasil;BR;BRA;20251;-22,91519;-43,1909;2.3055999279;Street
20251530;20251-530, Rio de Janeiro;;;Cosme Velho;Rio de Janeiro;;Rio de Janeiro;Brasil;BR;BRA;20251, 22241;-22,93938;-43,20201;2.3286561966;Street
20251540;Rua do Paraíso, 20251-540, Rio de Janeiro;;Rua do Paraíso;Santa Teresa;Rio de Janeiro;;Rio de Janeiro;Brasil;BR;BRA;20251;-22,91406;-43,19349;2.3055999279;Street
20251550;Rua Paula Matos, 20251-550, Rio de Janeiro;;Rua Paula Matos;Santa Teresa;Rio de Janeiro;;Rio de Janeiro;Brasil;BR;BRA;20251;-22,91338;-43,19248;2.3055999279;Street
20251560;Rua Pintor D. Janira, 20251-560, Rio de Janeiro;;Rua Pintor D. Janira;Santa Teresa;Rio de Janeiro;;Rio de Janeiro;Brasil;BR;BRA;20251;-22,91542;-43,19178;2.3055999279;Street
20251600;Rua do Z, 20251-600, Rio de Janeiro;;Rua do Z;Santa Teresa;Rio de Janeiro;;Rio de Janeiro;Brasil;BR;BRA;20251;-22,91529;-43,19284;2.3055999279;Street
20251623;20251, Santa Teresa, Rio de Janeiro;;;Santa Teresa, Sepetiba, Rio Comprido, Catumbi, Cosme Velho;Rio de Janeiro;;Rio de Janeiro;Brasil;BR;BRA;20251;-22,92523;-43,20282;2.7559998035;Geography
20251902;Rua Itapiru, Rio de Janeiro;;Rua Itapiru;Rio Comprido;Rio de Janeiro;;Rio de Janeiro;Brasil;BR;BRA;20251;-22,92525;-43,20212;2.3055999279;Street
20260001;Rua Haddock Lobo, Rio de Janeiro;;Rua Haddock Lobo;Tijuca;Rio de Janeiro;;Rio de Janeiro;Brasil;BR;BRA;20260;-22,91989;-43,21538;2.3055999279;Street
20260002;Rua Haddock Lobo, Rio de Janeiro;;Rua Haddock Lobo;Tijuca;Rio de Janeiro;;Rio de Janeiro;Brasil;BR;BRA;20260;-22,91989;-43,21538;2.3055999279;Street
20260010;Avenida Paulo de Frontin, Rio de Janeiro;;Avenida Paulo de Frontin;Estácio;Rio de Janeiro;;Rio de Janeiro;Brasil;BR;BRA;20260, 20261;-22,91502;-43,21005;2.3055999279;Street
20260011;Avenida Paulo de Frontin, Rio de Janeiro;;Avenida Paulo de Frontin;Estácio;Rio de Janeiro;;Rio de Janeiro;Brasil;BR;BRA;20260, 20261;-22,91502;-43,21005;2.3055999279;Street
20260030;Rua Santa Amélia, 20260-030, Rio de Janeiro;;Rua Santa Amélia;Praça da Bandeira;Rio de Janeiro;;Rio de Janeiro;Brasil;BR;BRA;20260;-22,91301;-43,21011;2.3055999279;Street
20260050;Rua Barão de Ubá, 20260-050, Rio de Janeiro;;Rua Barão de Ubá;Praça da Bandeira;Rio de Janeiro;;Rio de Janeiro;Brasil;BR;BRA;20260;-22,91453;-43,21105;2.3055999279;Street
20260085;Rua Joaquim Palhares, Rio de Janeiro;;Rua Joaquim Palhares;Praça da Bandeira;Rio de Janeiro;;Rio de Janeiro;Brasil;BR;BRA;20260;-22,91212;-43,21116;2.3055999279;Street
20260100;Rua Pereira de Almeida, 20260-100, Rio de Janeiro;;Rua Pereira de Almeida;Praça da Bandeira;Rio de Janeiro;;Rio de Janeiro;Brasil;BR;BRA;20260;-22,9131;-43,21248;2.3055999279;Street
20260110;Rua São Valentim, 20260-110, Rio de Janeiro;;Rua São Valentim;Praça da Bandeira;Rio de Janeiro;;Rio de Janeiro;Brasil;BR;BRA;20260;-22,9131;-43,21248;2.3055999279;Street
20260140;Rua São Vicente, 20260-140, Rio de Janeiro;;Rua São Vicente;Tijuca;Rio de Janeiro;;Rio de Janeiro;Brasil;BR;BRA;20260;-22,9181;-43,21202;2.3055999279;Street
20260141;Rua Haddock Lobo, Rio de Janeiro;;Rua Haddock Lobo;Tijuca;Rio de Janeiro;;Rio de Janeiro;Brasil;BR;BRA;20260;-22,91989;-43,21538;2.3055999279;Street
20260142;Rua Haddock Lobo, Rio de Janeiro;;Rua Haddock Lobo;Tijuca;Rio de Janeiro;;Rio de Janeiro;Brasil;BR;BRA;20260;-22,91989;-43,21538;2.3055999279;Street
20260150;Rua Domício da Gama, 20260-150, Rio de Janeiro;;Rua Domício da Gama;Tijuca;Rio de Janeiro;;Rio de Janeiro;Brasil;BR;BRA;20260;-22,91826;-43,21389;2.3055999279;Street
20260160;Rua Alberto de Siqueira, 20260-160, Rio de Janeiro;;Rua Alberto de Siqueira;Tijuca;Rio de Janeiro;;Rio de Janeiro;Brasil;BR;BRA;20260;-22,91827;-43,21476;2.3055999279;Street
20260170;Rua Manoel Leitão, 20260-170, Rio de Janeiro;;Rua Manoel Leitão;Tijuca;Rio de Janeiro;;Rio de Janeiro;Brasil;BR;BRA;20260;-22,9191;-43,21546;2.3055999279;Street
20260200;Rua Almirante Gavião, 20260-200, Rio de Janeiro;;Rua Almirante Gavião;Tijuca;Rio de Janeiro;;Rio de Janeiro;Brasil;BR;BRA;20260;-22,91827;-43,21432;2.3055999279;Street
20260210;Rua Engenheiro Adel, 20260-210, Rio de Janeiro;;Rua Engenheiro Adel;Tijuca;Rio de Janeiro;;Rio de Janeiro;Brasil;BR;BRA;20260;-22,92053;-43,21657;2.3055999279;Street
20260220;Rua Maestro Villa Lobos, 20260-220, Rio de Janeiro;;Rua Maestro Villa Lobos;Tijuca;Rio de Janeiro;;Rio de Janeiro;Brasil;BR;BRA;20260;-22,92093;-43,21718;2.3055999279;Street
20260230;Rua Araújo Pena, 20260-230, Rio de Janeiro;;Rua Araújo Pena;Tijuca;Rio de Janeiro;;Rio de Janeiro;Brasil;BR;BRA;20260;-22,9223;-43,21976;2.3055999279;Street
20260270;Rua Coronel Correia Lima, 20260-270, Rio de Janeiro;;Rua Coronel Correia Lima;Tijuca;Rio de Janeiro;;Rio de Janeiro;Brasil;BR;BRA;20260;-22,9247;-43,21863;2.3055999279;Street
20260280;Rua Delgado de Carvalho, 20260-280, Rio de Janeiro;;Rua Delgado de Carvalho;Tijuca;Rio de Janeiro;;Rio de Janeiro;Brasil;BR;BRA;20260;-22,92427;-43,21953;2.3055999279;Street
20260290;Rua Doutor Oscar Pimentel, 20260-290, Rio de Janeiro;;Rua Doutor Oscar Pimentel;Tijuca;Rio de Janeiro;;Rio de Janeiro;Brasil;BR;BRA;20260;-22,92531;-43,21979;2.3055999279;Street
20260300;Rua Félix da Cunha, 20260-300, Rio de Janeiro;;Rua Félix da Cunha;Tijuca;Rio de Janeiro;;Rio de Janeiro;Brasil;BR;BRA;20260;-22,92441;-43,22181;2.3055999279;Street
20260310;Rua General Silva Pessoa, 20260-310, Rio de Janeiro;;Rua General Silva Pessoa;Tijuca;Rio de Janeiro;;Rio de Janeiro;Brasil;BR;BRA;20260;-22,92531;-43,21979;2.3055999279;Street
20260320;Rua Jacuma, 20260-320, Rio de Janeiro;;Rua Jacuma;Tijuca;Rio de Janeiro;;Rio de Janeiro;Brasil;BR;BRA;20260;-22,92562;-43,2204;2.3055999279;Street
20261000;20261, Alto da Boa Vista, Rio de Janeiro;;;Alto da Boa Vista, Cidade Nova, Santa Teresa, Tijuca, Rio Comprido, Estácio, Praça da Bandeira, Maracanã;Rio de Janeiro;;Rio de Janeiro;Brasil;BR;BRA;20261;-22,92785;-43,20961;2.7559998035;Geography
20261004;Rua Aureliano Portugal, 20261-004, Rio de Janeiro;;Rua Aureliano Portugal;Rio Comprido;Rio de Janeiro;;Rio de Janeiro;Brasil;BR;BRA;20261;-22,92526;-43,2143;2.3055999279;Street
20261005;Rua Barão de Itapagipe, Rio de Janeiro;;Rua Barão de Itapagipe;Tijuca;Rio de Janeiro;;Rio de Janeiro;Brasil;BR;BRA;20261;-22,92369;-43,21849;2.3055999279;Street
20261020;Rua Batista das Neves, 20261-020, Rio de Janeiro;;Rua Batista das Neves;Tijuca;Rio de Janeiro;;Rio de Janeiro;Brasil;BR;BRA;20261;-22,91821;-43,21022;2.3055999279;Street
20261030;Rua Salvador de Mendonça, 20261-030, Rio de Janeiro;;Rua Salvador de Mendonça;Rio Comprido;Rio de Janeiro;;Rio de Janeiro;Brasil;BR;BRA;20261;-22,92127;-43,21081;2.3055999279;Street
